CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 016.001 0 0.0321478843689 0.0405938678025 0.163738965988 0.034316778183 0.0365161895752 0.0442321300507 0.0579838752747 1.0
40 016.001 0 0.0322921276093 0.0481799558677 1.10585808754 0.0342018604279 0.0372388362885 0.0519940853119 0.0687499046326 1.0
60 016.001 0 0.0313429832458 0.0438828853427 0.223549127579 0.033707857132 0.0380351543427 0.0587041378021 0.0790128707886 1.0
80 016.001 0 0.0308260917664 0.112144564634 8.87424898148 0.0342471599579 0.0422449111938 0.0907740592957 0.163623094559 0.993883792049
100 016.001 0 0.0317709445953 0.109743504018 2.72765898705 0.0343217849731 0.0470418930054 0.190084934235 0.451896190643 0.998704663212
150 016.001 0 0.0316619873047 0.21148560766 7.95836615562 0.0358180999756 0.0614821910858 0.52384185791 0.732933998108 0.993015133877
200 016.001 0 0.0320301055908 0.294302806243 3.18884301186 0.0459470748901 0.148754119873 0.653195858002 0.848044157028 0.992113564669
250 016.001 0 0.0410108566284 0.395926789055 4.45753002167 0.12216091156 0.341544866562 0.674758911133 0.866035938263 0.993902439024
300 016.001 0 0.135442972183 0.829532576005 3.73816919327 0.558494091034 0.767642021179 1.13804388046 1.3191640377 0.982776617954
400 016.001 0 0.643851995468 1.62670028495 4.70091700554 1.32050681114 1.57407689095 1.9540309906 2.17373490334 0.685869565217
500 016.001 0 1.16298699379 2.51377875561 4.89557480812 2.17135119438 2.46904492378 2.86769413948 3.14132499695 0.503293084523
600 016.001 0 2.0992269516 3.34630690684 6.44052314758 2.96838498116 3.30248999596 3.72178292274 3.90116000175 0.499422632794
