CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 25.46 0 0.0319650173187 0.143076322393 2.27809500694 0.0357720851898 0.0581021308899 0.404397964478 0.430098056793 0.999803613511
40 49.81 0 0.0318658351898 0.174309878171 13.8935060501 0.0359680652618 0.0610439777374 0.4193379879 0.459959030151 0.996888175065
60 74.975 0 0.0313429832458 0.164314029804 5.3971850872 0.0356512069702 0.0684239864349 0.433124065399 0.4993891716 0.999533177726
80 88.945 0 0.0308260917664 0.270445430759 25.139316082 0.037406206131 0.0908019542694 0.525735139847 0.750695943832 0.989853280117
100 102.87 0 0.0314469337463 0.344724166054 21.0123419762 0.0397319793701 0.125533819199 0.718027830124 1.16416597366 0.981675901623
150 117.35 0 0.0316431522369 0.649143949701 17.6010501385 0.0455319881439 0.305660963058 1.55124688148 2.96826004982 0.946037494674
200 129.98 0 0.0318040847778 0.909578448544 21.2837707996 0.0656630992889 0.518190860748 2.38412618637 3.56731796265 0.916564086783
250 132.91 0 0.0321509838104 1.24571729447 10.7579541206 0.209083080292 0.834104061127 3.24682307243 3.91826486588 0.880238507261
300 130.0 0 0.0331170558929 1.67794244287 12.8909528255 0.685009002686 1.24384689331 3.58844804764 4.17484402657 0.831057692308
400 127.97 0 0.390586137772 2.49482969307 16.9106481075 1.4571249485 2.06203198433 4.40248680115 5.00951504707 0.546495272329
500 123.705 0 0.782210826874 3.42170834008 18.3143701553 2.31847286224 2.9609439373 5.31709694862 5.95566296577 0.478052625197
600 123.02 0 1.57901620865 4.24945691716 21.362557888 3.12538719177 3.78330016136 6.15989303589 6.75284099579 0.440334904894
