CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 006.001 0 0.0532581806183 0.084130913172 0.343148946762 0.0565741062164 0.0612652301788 0.138359069824 0.170511007309 1.0
40 006.001 0 0.0534729957581 0.11022507517 3.80782079697 0.0568759441376 0.0637919902802 0.147112131119 0.199296951294 0.996052631579
60 006.001 0 0.0534861087799 0.103336381222 0.759002923965 0.0563390254974 0.076406955719 0.182418823242 0.218763113022 1.0
80 006.001 0 0.0535049438477 0.213207413678 10.4884879589 0.0583641529083 0.0993821620941 0.324653148651 0.622866153717 0.989409984871
100 006.001 0 0.0526947975159 0.293364058136 14.1823849678 0.0590770244598 0.122349977493 0.61240696907 1.06185913086 0.984727755644
150 006.001 0 0.054046869278 0.625699134321 11.8235740662 0.0649449825287 0.206003904343 1.64770102501 2.30128097534 0.939220183486
200 006.001 0 0.0566971302032 0.892978536739 5.17328596115 0.118390083313 0.65976190567 1.90229487419 2.81354498863 0.919238683128
250 006.001 0 0.0906720161438 1.28356032109 5.33994698524 0.579513072968 1.0597550869 2.5103700161 2.91062402725 0.888151174668
300 006.001 0 0.685446977615 1.79287297093 6.22949194908 1.22227096558 1.47750616074 3.06927704811 3.40605401993 0.764705882353
400 006.001 0 1.24361395836 2.59759167676 7.52976703644 2.00865721703 2.31742596626 3.79135990143 4.04665398598 0.504081632653
500 006.001 0 1.85032582283 3.47485772082 7.21824789047 2.84475708008 3.22180604935 4.72660899162 5.05187106133 0.49398249453
600 006.001 0 2.45682811737 4.27884394165 8.24264001846 3.63231706619 4.03503298759 5.48608708382 5.8331990242 0.48136315229
