CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 010.001 0 0.450689077377 1.48973041177 4.02005505562 0.496434926987 1.21914100647 3.31142807007 3.90369701385 0.7875
40 010.001 0 0.221815109253 3.59805361032 6.30286097527 2.38874197006 3.40897917747 5.64223599434 5.85589909554 0.5
60 010.001 0 3.07895207405 6.47972202698 13.3353478909 4.25740790367 5.45023107529 10.0849280357 11.8503828049 0.3
80 010.001 0 0.296928882599 7.41781405859 14.314291954 5.26247286797 7.11827301979 11.0114860535 12.5985751152 0.170886075949
100 010.001 0 31.2398638725 31.2398638725 31.2398638725 31.2398638725 31.2398638725 31.2398638725 31.2398638725 0.0
