CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 004.001 0 0.0433070659637 1.12890010549 4.73299908638 0.129558801651 0.841810941696 2.88532805443 3.64555311203 0.868421052632
40 004.001 0 0.317487955093 3.64021679071 6.63192415237 1.62030601501 3.98024892807 5.65024018288 5.86668395996 0.5
60 004.001 0 0.150738954544 4.37794251442 17.0328779221 1.43863391876 4.4238140583 6.20989704132 7.6084651947 0.5
80 004.001 0 4.62636685371 6.74327059388 20.6740841866 4.95449781418 5.49591493607 11.5558879375 14.9923210144 0.35
100 004.001 0 5.98551082611 10.2585578036 36.8822579384 6.95874118805 8.38471293449 15.8211112022 27.9405419827 0.005
150 004.001 0 0.160315990448 21.91756588 56.2140319347 6.10219788551 21.7754559517 39.2135381699 47.4650769234 0.0583941605839
200 004.001 0 4.23238706589 23.8675698676 111.721602917 10.8051388264 20.681440115 42.5036571026 50.4902541637 0.00403225806452
250 004.001 0 9.72211694717 32.6913212453 105.615438938 11.4498407841 26.9015078545 60.7739539146 80.1883702278 0.0
300 004.001 4.34782608696 15.9113628864 68.745679959 144.622087002 37.714659214 66.8522789478 95.2395529747 100.258537054 0.0
400 004.001 43.4782608696 26.5859558582 58.6300946941 80.498924017 32.7730000019 63.1133770943 71.6495170593 72.5449528694 0.0
500 004.001 45.0 46.8713040352 70.9117083907 173.851695061 58.1332650185 63.1652159691 82.5396199226 173.851695061 0.0
