CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
20 24.57 0 0.0324831008911 0.149053710818 1.76084113121 0.0361859798431 0.0598950386047 0.406299114227 0.439205169678 0.999509611612 0.999509611612 0 0 0 0
40 47.365 0 0.0317559242249 0.192360923193 11.480355978 0.0370960235596 0.0699059963226 0.432498931885 0.515926837921 0.99572562589 0.99572562589 0 0 0 0
60 64.66 0 0.0318620204926 0.277504463259 16.1551909447 0.0400280952454 0.0941259860992 0.545533895493 0.78733587265 0.990348065887 0.990348065887 0 0 0 0
80 80.56 0 0.031623840332 0.339665358685 17.2972259521 0.044734954834 0.148490905762 0.735975027084 1.10814404488 0.985440086104 0.985440086104 0 0 0 0
100 88.99 0 0.0313410758972 0.47603467296 6.8108420372 0.0509879589081 0.245213985443 1.01456999779 1.7345688343 0.972640181858 0.972640181858 0 0 0 0
150 93.24 0 0.0317280292511 0.955222624673 17.6981298923 0.137474060059 0.629464864731 2.53516602516 3.34040307999 0.919111570248 0 0.919111570248 0 0 0
200 93.34 0 0.134922027588 1.48950811986 6.42450809479 0.600538015366 1.10812902451 3.46096086502 3.73325896263 0.884200196271 0 0.884200196271 0 0 0
250 91.755 0 0.709810018539 2.07449310862 7.68963694572 1.16829895973 1.66405510902 3.98866987228 4.34483408928 0.686445577337 0 0 0 0.686445577337 0
300 90.43 0 1.13150906563 2.65995836105 9.70030999184 1.69817209244 2.22345399857 4.56837010384 5.0021340847 0.520047987203 0 0 0 0.520047987203 0
400 89.505 0 1.90672707558 3.83115963316 11.0327529907 2.76910591125 3.35920214653 5.82552671433 6.29266691208 0.471544934729 0 0 0 0 0.471544934729
500 88.645 0 3.12240004539 4.97829664272 12.823611021 3.8370912075 4.47506093979 7.04105901718 7.87481808662 0.413696468412 0 0 0 0 0.413696468412
600 73.505 13.9436867061 3.10680413246 5.63470602549 14.1095979214 4.87520217896 5.93269395828 9.19954705238 9.92455005646 0.347244924862 0 0 0 0 0.347244924862
