CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 013.001 0 0.0477530956268 0.0594729191548 0.153542995453 0.0501508712769 0.0535118579865 0.0747661590576 0.101616859436 1.0
40 013.001 0 0.0473258495331 0.119048071958 11.480355978 0.0501809120178 0.0567121505737 0.0963740348816 0.123427867889 0.994490358127
60 013.001 0 0.0480089187622 0.232232654768 15.1988999844 0.0502460002899 0.0707039833069 0.197640895844 0.639373064041 0.988911290323
80 013.001 0 0.0472340583801 0.188082965799 10.7751870155 0.0509369373322 0.106549024582 0.343153953552 0.532914161682 0.996805111821
100 013.001 0 0.0471620559692 0.300546128567 2.63470315933 0.0596120357513 0.162899971008 0.685741901398 0.88894200325 0.993487698987
150 013.001 0 0.0486950874329 0.630460759752 5.40105104446 0.191915035248 0.58202791214 1.01628088951 1.15118193626 0.986052998605
200 013.001 0 0.595664978027 1.1825009446 3.26419997215 0.867741107941 1.09151005745 1.4285299778 2.44432210922 0.963172804533
250 013.001 0 1.18191003799 1.76440992914 3.65407586098 1.44955396652 1.6634850502 1.99714589119 3.09459018707 0.588965517241
300 013.001 0 1.62976002693 2.3037402087 4.30146384239 1.97085905075 2.23764109612 2.56201195717 2.77148413658 0.5
400 013.001 0 2.31586503983 3.46732516635 5.70205593109 2.99533081055 3.39580798149 3.88846898079 4.73128604889 0.5
500 013.001 0 3.61833906174 4.51829120494 6.7596590519 4.02207016945 4.50036287308 4.85733604431 5.12379288673 0.487558320373
600 013.001 9.17721518987 3.86049199104 5.53516911555 8.06112718582 4.80667090416 5.56082987785 6.18278813362 6.76384091377 0.401898734177
