CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 002.001 0 0.0287148952484 0.03024286694 0.0324461460114 0.0287148952484 0.0298600196838 0.0324461460114 0.0324461460114 1.0
2 002.001 0 0.0267889499664 0.0778918663661 0.223654985428 0.0269758701324 0.0336349010468 0.220905065536 0.223654985428 1.0
3 002.001 0 0.0281600952148 0.0658337519719 0.313778877258 0.0285069942474 0.0431308746338 0.131100893021 0.157437801361 1.0
4 002.001 0 0.0276200771332 0.0705538068499 0.449214935303 0.0282800197601 0.0317480564117 0.157124042511 0.257771015167 1.0
5 002.001 0 0.0282549858093 0.0794642329216 0.445733785629 0.0294458866119 0.0542979240417 0.156028985977 0.23753786087 1.0
7 002.001 0 0.0280737876892 0.134818134484 0.875825881958 0.0298120975494 0.0995759963989 0.260376930237 0.371179819107 1.0
10 002.001 0 0.0283939838409 0.239776518196 1.17074394226 0.0443961620331 0.159296989441 0.56806397438 0.862802028656 1.0
15 002.001 0 0.0271909236908 0.627357299264 2.49408888817 0.12885594368 0.498198986053 1.49364805222 1.86780309677 0.952702702703
20 002.001 0 0.047119140625 1.27391620735 3.99426913261 0.48582482338 1.07597494125 2.37772893906 2.77585601807 0.857142857143
25 002.001 0 0.243138074875 2.09619102796 5.20134186745 0.948017120361 1.77823495865 3.93278694153 4.87642598152 0.673333333333
30 002.001 0 0.700648069382 2.68323176889 5.68016695976 1.3083717823 2.38340497017 4.70548391342 5.01420497894 0.594117647059
35 002.001 0 1.1154460907 3.38326873148 9.25748109818 1.64547491074 2.87654781342 6.05216598511 6.7152659893 0.477941176471
40 002.001 0 1.47338986397 3.95839128055 6.73028111458 2.09114599228 3.94575500488 5.92758011818 6.39563083649 0.460526315789
50 002.001 0 1.08751392365 5.86686576449 11.6852610111 2.82743811607 5.5870680809 9.26507091522 10.6171250343 0.29347826087
70 002.001 0 3.47101998329 9.4541867863 14.7890980244 4.67410516739 10.3309531212 13.5290651321 14.6647660732 0.128787878788
90 002.001 3.88349514563 1.30637693405 10.5812942588 21.7129809856 6.02476382256 8.9589099884 15.8049070835 16.6305639744 0.0485436893204
110 002.001 41.7582417582 5.00353908539 11.7958683745 35.8709039688 5.00431704521 13.4278960228 19.1804778576 20.4036970139 0.214285714286
200 002.001 51.0638297872 5.00354409218 11.4661783107 20.3448159695 5.00429010391 5.01173496246 18.6894841194 19.709788084 0.255319148936
