CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.22 0 0.00601887702942 0.217446965272 0.927085876465 0.0191490650177 0.0502669811249 0.645826101303 0.677491903305 1.0
2 2.24 0 0.00645899772644 0.246042073305 1.69662308693 0.0192461013794 0.0945160388947 0.675934076309 0.880213022232 0.997767857143
3 3.42 0 0.00629091262817 0.244872638008 1.83598303795 0.0191509723663 0.101704120636 0.685790061951 0.814452171326 0.998538011696
4 4.49 0 0.00619006156921 0.251378971113 2.18434906006 0.0194778442383 0.105970859528 0.700809001923 0.882570981979 0.997216035635
5 5.275 0 0.00605297088623 0.31231320684 2.6467628479 0.0195779800415 0.120067834854 0.795089006424 1.18316698074 0.981990521327
7 6.95 0 0.00637483596802 0.392873845169 3.49480414391 0.0229640007019 0.171013116837 1.04639387131 1.45017313957 0.976258992806
10 8.12 0 0.00591707229614 0.614368861238 5.34143805504 0.0325379371643 0.314409971237 1.65017199516 2.46225500107 0.943349753695
15 8.905 0 0.00611591339111 1.07636110827 7.92870903015 0.103474140167 0.683574914932 2.58013296127 3.69156599045 0.882088714206
20 8.975 0 0.00630211830139 1.59956719497 8.56334900856 0.375154018402 1.25104284286 3.28478288651 4.30927705765 0.795821727019
25 8.875 0 0.0062689781189 2.20642822104 8.84087395668 0.734022855759 1.8820400238 4.13197302818 5.05713200569 0.658873239437
30 9.155 0 0.00578808784485 2.61680136243 10.9751820564 0.952390193939 2.32589793205 4.8057539463 5.72338700294 0.600218459858
35 8.875 0 0.00637817382812 3.33557710983 10.9537730217 1.60239911079 2.95618891716 5.8024559021 6.74147701263 0.498591549296
40 9.275 0 0.00639390945435 3.69456306506 11.3276600838 1.84150385857 3.44149303436 6.03686404228 6.9501979351 0.475471698113
50 9.11 0 0.00634598731995 4.82926836181 19.6675140858 2.28368210793 4.36199092865 8.33990311623 9.62325286865 0.390504939627
70 8.925 0 0.00567889213562 7.24196215531 24.7389259338 3.66680788994 6.33742380142 12.7651908398 14.5530188084 0.252380952381
90 8.2 2.07317073171 0.738921165466 10.2827771656 25.7976078987 5.37434601784 10.2738280296 15.1416051388 17.2584400177 0.0801829268293
110 8.86 34.1986455982 2.64390897751 11.7214020364 35.8709039688 4.96057391167 12.8608179092 20.0035851002 21.675262928 0.227990970655
200 23.44 80.3327645051 4.43356108665 7.70812558558 44.4926199913 5.00399804115 5.00511980057 19.1172289848 20.4411139488 0.407316552901
