CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.002 0 0.697644948959 0.758895847533 0.871253967285 0.717406988144 0.754338026047 0.820111036301 0.871253967285 1.0
2 005.002 0 0.0578968524933 0.837665403591 1.8911421299 0.0663850307465 0.850032091141 1.50056195259 1.81057596207 0.941176470588
3 005.002 0 0.0600838661194 0.982406267753 2.74442505836 0.0623068809509 0.954232931137 1.93547916412 2.36240696907 0.875
4 005.002 0 0.057687997818 0.91080006212 2.6331038475 0.118367910385 0.945426940918 1.85125494003 2.23062801361 0.90625
5 005.002 0 0.057501077652 1.27874979708 3.80788207054 0.061047077179 1.28130197525 2.5232129097 2.79628396034 0.805555555556
7 005.002 0 0.05686211586 2.14719990194 5.71060991287 0.215631008148 2.11776804924 3.98802304268 4.70423197746 0.7
10 005.002 0 0.0601480007172 3.74486622287 7.51665306091 1.02937102318 4.12027692795 6.13933086395 6.83589816093 0.506097560976
15 005.002 0 0.683344841003 4.79874536537 9.29217386246 1.7139339447 4.74095082283 7.55079388618 7.91766309738 0.35119047619
20 005.002 0 0.979827880859 5.46349694961 12.0200500488 1.40512919426 5.80704283714 8.86160707474 9.4269990921 0.341463414634
25 005.002 0 1.16673803329 7.0669669509 12.9401111603 3.05194497108 7.41517400742 9.78400993347 10.4038498402 0.142045454545
30 005.002 0 2.14660692215 6.49697416624 15.3478209972 3.17006707191 5.18780303001 11.5736179352 13.5595300198 0.277777777778
35 005.002 0 2.92361903191 8.88301397314 19.8535108566 3.71590805054 8.42538094521 14.0491318703 15.3055391312 0.183168316832
40 005.002 0 0.943886995316 7.64185324217 18.2616078854 3.19308900833 6.42527294159 12.2549319267 15.6599919796 0.257894736842
45 005.002 0 1.8600730896 9.3077330245 20.9518711567 4.49561810493 7.68797516823 15.5647819042 16.899764061 0.144444444444
50 005.002 0 3.22675204277 8.27273778915 16.8924059868 4.92500305176 6.61405491829 13.2644741535 14.3529939651 0.16
55 005.002 0 1.51870918274 10.1198050065 21.2805101871 5.71625304222 9.5907330513 16.7868230343 18.3544888496 0.0590909090909
60 005.002 0 0.987715959549 9.66054025292 21.0855751038 6.77913713455 8.58914804459 14.8243370056 17.8090438843 0.0166666666667
65 005.002 0 0.874966144562 12.2997317773 29.1730699539 6.6959438324 10.813295126 20.9119968414 22.2464318275 0.0432692307692
70 005.002 0 2.25114703178 12.8842497603 24.0228960514 7.65866303444 11.1261541843 20.9345629215 22.0712940693 0.02
75 005.002 0 0.725762844086 12.7000897414 24.0391209126 6.69635891914 10.2488298416 22.5362679958 23.3387548923 0.0379746835443
80 005.002 0 1.15355801582 10.9943111002 31.1185090542 5.06087899208 10.3560519218 15.2568659782 20.9773368835 0.09375
85 005.002 0 0.432238101959 12.7735691463 29.5400059223 5.77667999268 11.3462259769 20.1102831364 22.2182209492 0.0823529411765
90 005.002 0 0.751677036285 14.1764955997 47.111811161 6.49035096169 13.5633699894 21.862901926 30.9121329784 0.05
