CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 015.001 0 0.0483119487762 0.0613371663623 0.212522029877 0.0492310523987 0.0502710342407 0.0670549869537 0.212522029877 1.0
2 015.001 0 0.0489511489868 0.0843297243118 0.277843952179 0.0498161315918 0.0543088912964 0.197457075119 0.267796993256 1.0
3 015.001 0 0.0480799674988 0.12239030838 1.26749396324 0.0493831634521 0.0536680221558 0.24947810173 0.449767827988 1.0
4 015.001 0 0.0490040779114 0.153891048734 0.716649055481 0.0501551628113 0.1098279953 0.337514162064 0.460695981979 1.0
5 015.001 0 0.0483319759369 0.269253892057 2.10003805161 0.0495910644531 0.0890989303589 0.854490041733 1.25096702576 0.985294117647
7 015.001 0 0.0487217903137 0.320347061283 1.45613288879 0.050518989563 0.177627086639 0.79755282402 0.900933980942 1.0
10 015.001 0 0.0496289730072 0.720642144863 2.63601899147 0.0548179149628 0.489508867264 1.78049111366 2.2035548687 0.929487179487
15 015.001 0 0.0486240386963 1.39937168521 3.57361197472 0.35395693779 1.33277487755 2.36967587471 2.9090321064 0.783783783784
20 015.001 0 0.490817070007 2.26075667907 4.10512208939 0.869639873505 2.2513730526 3.58635187149 3.7734670639 0.621794871795
25 015.001 0 0.833429813385 2.98741638502 6.66635394096 1.49697399139 2.80143499374 4.59027981758 6.11202907562 0.526666666667
30 015.001 0 0.76861000061 3.43903628061 7.81847286224 1.67752695084 3.09681200981 5.16677308083 6.21702814102 0.505813953488
35 015.001 0 0.852320194244 3.74502531801 8.76640486717 2.08588194847 3.61427211761 5.84148907661 7.23408484459 0.492857142857
40 015.001 0 1.33216905594 4.75588112772 13.5030741692 2.6487660408 4.23262786865 8.15605807304 8.55744290352 0.3875
45 015.001 0 0.350505113602 4.49652892146 10.3821091652 2.20167708397 4.07033514977 7.37858200073 8.23024702072 0.396551724138
50 015.001 0 0.233246088028 5.22004285726 10.8840949535 3.19371700287 4.65662813187 7.80716991425 8.39910697937 0.331168831169
55 015.001 0 0.64507484436 5.60466230132 15.4034039974 3.22259998322 4.58643722534 10.2600080967 11.9331700802 0.354545454545
60 015.001 0 3.42714905739 5.49856660366 14.0645968914 3.79872012138 4.77356219292 8.66251015663 9.06848311424 0.366666666667
65 015.001 0 0.2594871521 7.49964531752 28.1576421261 3.86370205879 5.66700696945 13.3435220718 15.1708359718 0.284615384615
70 015.001 0 0.709233999252 10.2754600627 20.0765149593 5.79205608368 9.87492895126 14.5020749569 15.9706559181 0.0714285714286
75 015.001 0 1.43644499779 8.57287818591 27.0359518528 4.83457899094 6.6566119194 17.2879030704 18.8740260601 0.186666666667
80 015.001 0 0.335529088974 9.38481916785 39.2047379017 5.34841489792 7.70512509346 17.5317590237 24.6580529213 0.1
85 015.001 0 1.72411584854 10.2336904273 25.9292969704 4.80105113983 9.42037796974 19.4313049316 20.1034879684 0.1
90 015.001 0 1.17575621605 13.3834050599 39.6648089886 4.15843200684 12.978605032 22.1808609962 29.2037801743 0.105882352941
