CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 011.002 0 0.665096998215 0.755312681198 0.873116970062 0.671537876129 0.752907037735 0.870465993881 0.873116970062 1.0
2 011.002 0 0.0620119571686 0.837347591625 1.90277981758 0.0684959888458 0.810072898865 1.46971702576 1.5832259655 0.955882352941
3 011.002 0 0.0589828491211 0.765153225731 2.77566003799 0.0617351531982 0.837616920471 1.79555797577 2.17078113556 0.93137254902
4 011.002 0 0.0583510398865 0.995311722159 2.8081381321 0.120476007462 1.05656003952 1.90084791183 1.99715805054 0.890625
5 011.002 0 0.0580151081085 1.50896645283 4.06280517578 0.141262054443 1.3192448616 3.16757392883 3.35169816017 0.804347826087
7 011.002 0 0.0578079223633 1.95282543789 5.41954398155 0.251013040543 1.92227292061 3.64617204666 4.35068798065 0.688311688312
10 011.002 0 0.122286081314 3.80300073624 9.09929990768 1.37805700302 3.87075901031 6.29368686676 6.57543706894 0.49375
15 011.002 0 0.265846014023 4.28489806175 9.06404399872 1.36540579796 4.32498598099 7.07846093178 7.52275204659 0.426666666667
20 011.002 0 0.681744813919 5.33520860672 9.58103990555 3.01239490509 5.55733895302 7.88411307335 8.81888222694 0.3125
25 011.002 0 2.33801293373 5.70629959424 11.4566531181 3.04957389832 5.30917406082 9.36360096931 9.81450891495 0.293333333333
30 011.002 0 2.66870594025 7.35509618123 14.6919038296 3.65045309067 6.73728489876 11.9045748711 12.4758279324 0.2
35 011.002 0 3.03187012672 8.08522381101 15.0376179218 5.01121091843 7.39345312119 12.880095005 14.4523010254 0.128571428571
40 011.002 0 1.02062916756 8.92368792593 14.0583000183 4.99330592155 8.7574338913 13.0904071331 13.9089689255 0.0875
45 011.002 0 2.98137688637 9.71970867846 27.0345821381 5.35993409157 9.39561295509 14.8223030567 17.3922700882 0.0888888888889
50 011.002 0 0.717537879944 11.4339050078 22.7761259079 8.57552599907 11.2550308704 16.0481350422 17.1137280464 0.025
55 011.002 0 2.08792805672 12.0077871027 25.1719491482 6.59182882309 11.1382131577 18.9904849529 20.5321481228 0.0416666666667
60 011.002 0 2.35233688354 11.5225958601 22.4865860939 4.95860791206 11.0861368179 18.2692911625 19.1652359962 0.0625
65 011.002 0 1.49149298668 13.2167226205 30.1566669941 7.60952305794 12.1504809856 19.3569788933 23.0450279713 0.0461538461538
70 011.002 0 4.45198392868 15.0938220773 28.7464089394 8.94014000893 16.1564059258 20.0524961948 25.5320930481 0.0142857142857
75 011.002 0 3.92319202423 15.8050246334 27.05509305 10.5695168972 15.4204180241 22.377464056 24.148266077 0.0133333333333
80 011.002 0 6.94888710976 18.0080692172 33.5592699051 11.564237833 18.287484169 27.0456991196 28.5313539505 0.0
85 011.002 0 4.79168391228 18.1899040362 45.7055790424 7.97775602341 13.1645350456 33.9058520794 35.5445079803 0.0352941176471
90 011.002 0 4.44658899307 18.988716756 57.3499369621 10.8345971107 15.7263019085 30.9128510952 40.5208749771 0.0111111111111
