CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 014.002 0 0.0533049106598 0.066349610097 0.162127017975 0.0554549694061 0.0590169429779 0.0891888141632 0.113372087479 1.0
40 014.002 0 0.0525658130646 0.0713132912377 0.332637071609 0.0551359653473 0.0596868991852 0.110067844391 0.134711027145 1.0
60 014.002 0 0.0520060062408 0.135526330066 7.14989805222 0.0545499324799 0.0607640743256 0.119782924652 0.181488037109 0.993396226415
80 014.002 0 0.0507659912109 0.166518546982 4.32328104973 0.0552568435669 0.0794038772583 0.228290081024 0.373384952545 0.991875923191
100 014.002 0 0.0520420074463 0.215237892026 19.4598789215 0.0559351444244 0.0797390937805 0.255738973618 0.534487009048 0.987684729064
150 014.002 0 0.05189204216 0.371766831074 19.6892220974 0.0607659816742 0.142951011658 0.869089841843 1.40890598297 0.977364185111
200 014.002 0 0.0522758960724 0.588452190743 7.85837602615 0.0751271247864 0.291919946671 1.40102291107 1.80519294739 0.956927175844
250 014.002 0 0.0531239509583 0.805662125606 8.31516480446 0.0952620506287 0.660975933075 1.68715691566 2.09637498856 0.92900172117
300 014.002 0 0.0531129837036 1.05763766439 7.45182299614 0.269505977631 1.00535392761 1.80468797684 2.39052700996 0.910953177258
400 014.002 0 0.916754007339 1.70248866818 5.45234394073 1.24113512039 1.51964902878 2.47532320023 2.99612689018 0.732664995823
500 014.002 0 1.4860959053 2.38557535639 7.67328906059 1.88181805611 2.21379494667 3.15287804604 3.75260400772 0.49955396967
600 014.002 0 1.75403881073 3.11382028926 7.84828209877 2.55685019493 2.96272301674 3.86158299446 4.44817686081 0.496897163121
