CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 010.001 0 0.0332479476929 0.104880218705 3.33081221581 0.0351700782776 0.0413038730621 0.125808000565 0.188977956772 0.996527777778
40 010.001 0 0.034049987793 0.0735288282921 0.404390096664 0.0361199378967 0.0538001060486 0.134742021561 0.172455072403 1.0
60 010.001 0 0.0340700149536 0.0961530774997 1.64184188843 0.0364079475403 0.0673830509186 0.15206193924 0.21772313118 0.997237569061
80 010.001 0 0.0333487987518 0.114775524882 0.772994995117 0.0365428924561 0.0802981853485 0.226329803467 0.294306993484 1.0
100 010.001 0 0.0337111949921 0.147478186354 0.890738964081 0.037789106369 0.0955488681793 0.347692966461 0.519831895828 1.0
150 010.001 0 0.0330770015717 0.248752772433 7.97023487091 0.040146112442 0.105859041214 0.479888916016 0.595914125443 0.98427672956
200 010.001 0 0.0346930027008 1.00814966517 11.4999718666 0.0413639545441 0.213329076767 3.09499812126 4.96348309517 0.893700787402
250 010.001 0 0.0470271110535 6.83438373434 33.7202270031 0.0743179321289 3.72918105125 19.233217001 30.7332758904 0.465517241379
300 010.001 25.0 3.72715401649 10.5614945889 29.662252903 5.02379894257 9.44762897491 14.737691164 29.662252903 0.166666666667
400 010.001 40.0 5.02303504944 9.01378502846 13.3594899178 5.02303504944 9.69117808342 13.3594899178 13.3594899178 0.2
500 010.001 50.0 5.02384018898 5.78246808052 6.54109597206 5.02384018898 6.54109597206 6.54109597206 6.54109597206 0.25
