CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 1.16 0 0.0308458805084 0.0923192973795 0.940477848053 0.0327789783478 0.0548460483551 0.237887144089 0.26044011116 1.0
2 2.14 0 0.0309810638428 0.105550358229 2.10525798798 0.0338158607483 0.055566072464 0.247404098511 0.263561010361 0.995327102804
3 3.37 0 0.0308439731598 0.100570256349 1.1352159977 0.0328509807587 0.0559539794922 0.247019767761 0.351918935776 1.0
4 4.14 0 0.0307939052582 0.147398696429 3.22794508934 0.0335209369659 0.0570929050446 0.263839006424 0.408840894699 0.990338164251
5 4.95 0 0.0302619934082 0.213192432577 2.46197295189 0.0349659919739 0.0610008239746 0.390910148621 1.19341301918 0.979797979798
10 9.55 0 0.029876947403 0.226903464282 3.85509705544 0.0401458740234 0.105520963669 0.508036851883 0.836629867554 0.991623036649
15 12.55 0 0.0308678150177 0.393381188685 3.49231815338 0.0529129505157 0.213058948517 0.976058006287 1.46823191643 0.975697211155
20 12.74 0 0.0316579341888 0.780541639874 4.58069014549 0.0669410228729 0.590298175812 1.82629799843 2.16559791565 0.926609105181
25 13.47 0 0.0318131446838 1.05096423263 5.07889103889 0.0734488964081 0.93017911911 2.23471999168 2.63351488113 0.867483296214
30 13.39 0 0.0315899848938 1.43420866428 6.11213994026 0.232635974884 1.30436110497 2.75179409981 3.09097695351 0.796489917849
35 13.77 0 0.0338139533997 1.74333904113 6.53960084915 0.182703018188 1.58396315575 3.40430903435 3.94996404648 0.729847494553
40 13.56 0 0.0324730873108 2.15047957535 6.91142606735 0.37718296051 2.04552197456 3.81437802315 4.39434099197 0.647492625369
50 13.11 0 0.0363829135895 3.00141965661 11.7216129303 0.142722129822 2.87585711479 5.26993894577 6.10134196281 0.561784897025
60 13.52 0 0.0307509899139 3.62295079725 18.7987141609 0.459864854813 3.5507311821 6.31367707253 7.2163040638 0.502958579882
70 13.23 0 0.0332608222961 4.57002062178 15.779186964 0.474765062332 4.44909906387 7.97133207321 9.132117033 0.448223733938
80 12.95 0 0.0307219028473 5.49079641191 19.1541090012 0.130338907242 5.21889615059 9.63026499748 10.7671539783 0.353281853282
90 12.64 0 0.0304069519043 6.34484957234 25.0882940292 0.0558300018311 6.19399118423 11.2418949604 15.372866869 0.313291139241
100 12.36 0 0.0326290130615 7.29017420668 31.2235240936 0.0681269168854 7.12903094292 13.7541642189 15.2579259872 0.273462783172
120 12.44 0 0.0304408073425 9.02667209535 48.5073809624 0.20854306221 8.32868099213 17.2913610935 18.5877549648 0.230305466238
140 12.35 0 0.0306959152222 10.4776246007 69.1110169888 0.204674005508 9.36953997612 20.1410331726 25.2497930527 0.232793522267
160 11.6 0 0.0418610572815 13.1431589601 69.2992911339 0.70122385025 10.352091074 27.1587939262 33.212100029 0.2
180 12.18 0 0.587995052338 14.3393405042 57.91979599 2.68927097321 12.0825679302 28.8488600254 38.2953829765 0.135057471264
200 11.55 0 1.73960208893 16.8446999335 97.6681919098 4.29095602036 12.847328186 31.8070909977 36.8203029633 0.0714285714286
250 11.48 0 5.00977993011 21.3650285946 71.221143961 9.05371809006 19.4880459309 37.6920728683 43.8775031567 0.0195993031359
300 11.31 0.0884173297966 6.78722190857 26.2877519339 82.7160701752 9.69458198547 22.8967008591 46.3414928913 50.500715971 0.0
