CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 011.001 0 0.36702299118 0.571535659107 2.729129076 0.395700931549 0.476985931396 0.819732189178 0.972193002701 0.991477272727
40 011.001 0 0.399166107178 1.59155217351 14.9949371815 0.473364830017 1.30030822754 3.08916711807 3.55710697174 0.780737704918
60 011.001 0 0.429219007492 2.58172420568 6.22961306572 1.18293690681 2.55197906494 3.97647309303 4.31391406059 0.586378737542
80 011.001 0 1.9860098362 3.75357754872 6.54729914665 2.93597602844 3.65343499184 4.72994303703 5.3108279705 0.49358974359
100 011.001 0 2.57908892632 4.33495996337 8.36993312836 3.353495121 4.08691000938 5.57569694519 6.50883412361 0.458745874587
150 011.001 0 3.87383508682 5.55986607513 10.6054010391 4.56409621239 5.45161509514 6.76867008209 7.23369598389 0.372909698997
200 011.001 0 5.03059792519 6.88246229461 10.3269169331 5.89337491989 6.75499391556 8.21737408638 8.75799202919 0.0714285714286
250 011.001 0.813008130081 5.00370883942 8.11461966115 11.6743950844 6.97573399544 8.00789403915 9.47507190704 10.2703299522 0.00813008130081
300 011.001 32.5581395349 5.00347900391 7.4355196232 10.2107610703 5.00486588478 8.16217899323 8.96914601326 9.39671993256 0.162790697674
400 011.001 50.0 5.00471711159 7.6209009886 10.2370848656 5.00471711159 10.2370848656 10.2370848656 10.2370848656 0.25
