CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 014.002 0 0.0357131958008 0.087732483769 0.64702796936 0.0369300842285 0.060455083847 0.157796144485 0.229221105576 1.0
40 014.002 0 0.0359680652618 0.475313008842 6.33028888702 0.0552520751953 0.326288938522 0.965170860291 1.39451599121 0.976694915254
60 014.002 0 0.0379538536072 0.793641876352 3.92894506454 0.186028957367 0.646425008774 1.64196300507 2.1008310318 0.937931034483
80 014.002 0 0.273093938828 1.27900423115 4.78991293907 0.770201206207 1.05568099022 1.97989606857 2.9776198864 0.881355932203
100 014.002 0 0.917541980743 1.92472591593 6.5146689415 1.28567314148 1.68983006477 2.94745707512 3.73224878311 0.641891891892
150 014.002 0 1.83088088036 3.08763471335 6.26861095428 2.46409487724 2.94277691841 3.91117310524 4.43531799316 0.496655518395
200 014.002 0 3.17892384529 4.39811502573 8.2814450264 3.48238110542 4.23812699318 5.35220789909 5.87154817581 0.477551020408
250 014.002 3.94088669951 3.96663188934 5.89149874889 10.2567360401 4.84536004066 5.80015778542 7.03172111511 7.39322304726 0.293103448276
300 014.002 36.3636363636 5.00436711311 5.92043160308 7.33753204346 5.00479602814 6.19179201126 6.76229906082 7.319658041 0.204545454545
400 014.002 66.6666666667 5.00406002998 5.53978800773 6.6104619503 5.00406002998 5.00484204292 6.6104619503 6.6104619503 0.333333333333
