CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 010.002 0 0.0151071548462 0.0396092371507 0.212491035461 0.0172970294952 0.0261070728302 0.0839860439301 0.119211912155 1.0
40 010.002 0 0.0152769088745 0.189189339838 2.43553900719 0.0216698646545 0.0761430263519 0.408889055252 0.972034215927 0.991935483871
60 010.002 0 0.0160610675812 0.279415811924 2.14406204224 0.0626318454742 0.171606063843 0.661921977997 0.886528015137 0.991721854305
80 010.002 0 0.100441932678 0.55712805679 4.05931305885 0.205692052841 0.421653032303 1.01810693741 1.6361989975 0.971698113208
100 010.002 0 0.300452947617 1.08865060102 5.00890398026 0.646106004715 0.969587087631 1.49004602432 1.90994906425 0.951342281879
150 010.002 0 1.46434497833 2.42597954428 5.88466286659 1.86875081062 2.31555891037 2.99565005302 3.38115978241 0.503412969283
200 010.002 0 2.70761704445 3.77610273983 6.93540000916 3.11610817909 3.64290308952 4.49504494667 4.80009508133 0.493311036789
250 010.002 1.62601626016 3.1300201416 4.91288915979 8.40624713898 3.82506203651 4.94052696228 5.75997400284 6.3217689991 0.465447154472
300 010.002 24.5283018868 4.81086921692 5.65330168436 6.72196102142 5.00423192978 5.68605399132 6.26607108116 6.40837597847 0.367924528302
400 010.002 0 5.8036839962 5.80632758141 5.80897116661 5.8036839962 5.80897116661 5.80897116661 5.80897116661 0.5
