CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 014.001 0 0.270175933838 0.307269849275 0.892721891403 0.2748670578 0.285760164261 0.342591047287 0.40314412117 1.0
40 014.001 0 0.273549079895 0.498856532372 7.37006306648 0.285487174988 0.391465902328 0.833908081055 1.00110888481 0.989406779661
60 014.001 0 0.283038139343 0.772504949078 4.31048512459 0.362667798996 0.584752082825 1.41059803963 1.99370384216 0.958762886598
80 014.001 0 0.418991804123 0.967799759394 4.06434583664 0.582602024078 0.808887958527 1.48190283775 2.25720119476 0.952702702703
100 014.001 0 0.483317136765 1.37862070348 4.69751501083 0.878088951111 1.18276190758 2.04672288895 2.91920590401 0.886287625418
150 014.001 0 1.58807301521 2.6423175525 6.06048297882 2.0037021637 2.54497003555 3.34298706055 4.08010601997 0.498338870432
200 014.001 0 2.58048605919 3.98873552573 7.30703306198 3.22099685669 3.91894698143 4.72635889053 5.57327985764 0.486055776892
250 014.001 2.7397260274 3.79248785973 5.41201593887 9.18805885315 4.45083618164 5.34632182121 6.41364598274 7.0058131218 0.424657534247
300 014.001 16.6666666667 4.86780905724 5.72354146838 7.0470790863 5.00464200974 5.70016098022 6.48732805252 6.49062991142 0.354166666667
400 014.001 0 5.943805933 6.28687393666 6.62994194031 5.943805933 6.62994194031 6.62994194031 6.62994194031 0.25
