CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 012.001 0 0.118329048157 1.37385419011 3.56388282776 0.392235040665 1.21693897247 2.60164690018 3.12895298004 0.802884615385
40 012.001 0 0.801999092102 4.49921206309 10.1735548973 1.47480082512 4.59156513214 7.60100793839 7.91742610931 0.418367346939
60 012.001 0 2.15986013412 6.23398853283 11.2901618481 3.93464398384 5.93707299232 8.86451506615 9.24381613731 0.254901960784
80 012.001 0 2.32845497131 8.5846170084 14.7431838512 6.56582808495 8.37881803513 11.4281578064 12.3900032043 0.037037037037
100 012.001 0 6.04774284363 10.9567877841 18.8532829285 8.27637481689 10.8019590378 13.7387909889 15.2651820183 0.0
150 012.001 0 4.46861100197 13.7386746689 26.6578259468 9.57553696632 14.3806700706 17.6784858704 20.2701590061 0.0263157894737
200 012.001 0 4.4743540287 23.7963566047 30.241355896 13.7662599087 27.4644870758 28.7135138512 30.241355896 0.0384615384615
250 012.001 0 30.9540789127 44.5679214597 55.5759909153 30.9540789127 50.2785828114 55.5759909153 55.5759909153 0.0
300 012.001 0 32.4342820644 32.4342820644 32.4342820644 32.4342820644 32.4342820644 32.4342820644 32.4342820644 0.0
