CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 005.001 0 0.246527910233 0.256186246872 0.293728113174 0.248210906982 0.249805927277 0.268316984177 0.293728113174 1.0
2 005.001 0 0.224865913391 0.282936239243 0.599680900574 0.248279094696 0.262027978897 0.353688955307 0.599680900574 1.0
3 005.001 0 0.225831031799 0.341183241208 0.621335983276 0.249189853668 0.299128055573 0.522717952728 0.543153047562 1.0
4 005.001 0 0.223938941956 0.436268549699 2.68714785576 0.249289035797 0.310153961182 0.691274881363 0.8660800457 0.987179487179
5 005.001 0 0.246299982071 0.532951862916 2.82371997833 0.253849983215 0.399497032166 0.902099132538 0.957592010498 0.978260869565
7 005.001 0 0.248636960983 0.591763573308 2.36027908325 0.27561712265 0.503579139709 0.89058303833 1.24584507942 0.991935483871
10 005.001 0 0.24817609787 0.837760233585 3.73604679108 0.320499897003 0.79884314537 1.44247913361 1.50717592239 0.969135802469
15 005.001 0 0.338521957397 1.59358959813 3.86969304085 0.823103904724 1.54369688034 2.33410096169 2.76955890656 0.741935483871
20 005.001 0 0.488507986069 2.12328645229 4.09244918823 1.39098191261 2.09130120277 2.98735785484 3.57698106766 0.59
25 005.001 0 1.20746397972 2.61982587099 4.14323592186 1.91991090775 2.53901696205 3.51654219627 3.70699691772 0.515
30 005.001 0 1.6593580246 3.08227964329 5.72664904594 2.26071381569 3.06030201912 3.79565310478 4.34873104095 0.5
35 005.001 0 0.878851175308 3.60154872395 5.49022698402 2.52929592133 3.5005428791 4.69901585579 4.98923587799 0.504761904762
40 005.001 0 1.4653699398 4.00120988259 8.09370207787 2.78610682487 3.92559194565 5.28985786438 5.67250609398 0.485576923077
