CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 009.001 0 0.0620250701904 0.595229506493 3.06357383728 0.186234951019 0.429238080978 1.31312298775 1.56715202332 0.966911764706
40 009.001 0 0.970284938812 2.32831695454 12.0194070339 1.138422966 1.72533202171 4.12605309486 4.83659315109 0.681818181818
60 009.001 0 1.22709012032 2.84368544641 7.2875919342 1.98453402519 2.55742502213 4.27196002007 4.72708106041 0.494082840237
80 009.001 0 1.06100511551 3.71702811122 7.80998182297 2.60936188698 3.56600785255 5.24981403351 6.12526702881 0.4875
100 009.001 0 1.2018430233 5.15189486047 15.7244179249 3.40403699875 4.8294980526 7.47876405716 8.0345389843 0.38036809816
150 009.001 0 1.2279188633 7.89905306797 21.1523048878 4.03807783127 7.6472659111 11.3641281128 13.6718740463 0.110738255034
200 009.001 0 3.03107786179 10.6612927756 21.697726965 6.62981700897 10.3615820408 15.6751110554 17.1735539436 0.0329949238579
250 009.001 0 5.491492033 13.4970212699 35.9762949944 9.03218603134 12.7612240314 18.4106760025 21.1713409424 0.00617283950617
300 009.001 0 9.38036990166 16.5847309658 36.8483397961 13.217427969 15.717274189 21.0017681122 24.8291289806 0.0
400 009.001 2.53164556962 9.50687003136 20.9127906335 63.166454792 14.1058859825 18.0920140743 27.5845799446 47.1783869267 0.0
500 009.001 11.1111111111 13.2092008591 26.3977548149 63.1466310024 15.003909111 19.5576181412 63.1169259548 63.1413581371 0.0
600 009.001 12.5 14.4535620213 27.6982562145 63.157323122 16.4580888748 23.960157156 63.1104240417 63.1515879631 0.0
