CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
20 003.001 0 0.0361831188202 1.17742079916 10.7825081348 0.119707107544 0.368368148804 4.67907905579 7.25675392151 0.897887323944
40 003.001 0 0.687384128571 2.33232436101 13.8449189663 0.919871091843 1.55768990517 4.07938194275 4.89852404594 0.723140495868
60 003.001 0 0.817360877991 2.51511356566 5.83357405663 1.58815097809 2.30682086945 3.77555203438 4.42084908485 0.530864197531
80 003.001 0 0.892132997513 3.73615979658 7.81455802917 2.48507595062 3.42832684517 5.6776368618 5.86314296722 0.479452054795
100 003.001 0 0.801880121231 4.57819681248 10.3591051102 2.9744451046 4.46578598022 6.77677702904 7.42024493217 0.423728813559
150 003.001 0 1.43898701668 7.56709553514 24.1442558765 4.9594039917 6.8285779953 11.2756111622 13.0347361565 0.15
200 003.001 0 2.68239307404 9.76791282931 19.1366751194 7.49917387962 9.39276003838 12.5925409794 13.4105429649 0.0354838709677
250 003.001 0 3.91827917099 12.8888066342 23.364030838 8.03791499138 13.2761089802 16.6405689716 18.2184131145 0.0138121546961
300 003.001 0 7.30853009224 15.6744029402 34.4456169605 11.7564690113 14.5465819836 21.5166859627 26.0263450146 0.0
400 003.001 4.6875 7.23676490784 21.6393176742 70.5691587925 13.0052118301 17.2552909851 35.5304510593 63.0942630768 0.0
500 003.001 21.2041884817 10.2028739452 32.403180867 119.772963047 14.9922199249 22.1026601791 63.1294009686 63.1489150524 0.0
600 003.001 25.0 8.09978079796 34.9926902191 125.627511024 15.0552508831 24.4621140957 63.1339569092 63.1517961025 0.0
